Pump pulses;Hypo. tank level;Chlorine setpoint;Dosing pump;UV percentage;Flow;Influent turbidity;Effluent turbidity;pH;Coagulant PPM
51.08;66.25;0.7;1;34.37;97.81;0.83;0.29;8.98;0
46.91;76.75;0.7;2;27.43;99.06;0.56;0.26;8.56;0
47.47;73.12;0.7;2;20.11;85.62;1.14;0.59;9.19;0
70.43;39.5;0.7;1;31.08;100.47;0.69;0.35;8.59;0
46.46;59.19;0.7;2;34.39;97.03;1.67;0.93;8.23;0
39.15;83.37;0.7;2;28.04;86.87;3.44;0.69;8.77;0
63.67;74.87;1;2;19.55;92.19;14.2;1.74;8.76;23.38
56.19;49.81;1;2;31.32;87.19;3.89;2.1;7.78;18.38
49.84;84.06;0.7;1;32.12;90.78;0.98;0.39;8.71;0
46.46;59.19;0.7;2;34.43;96.56;1.68;0.94;8.23;0
41.74;68.62;0.7;2;33.66;94.84;0.63;0.29;8.78;0
52.09;73.75;0.7;2;17.21;88.44;1.58;0.82;8.97;0
46.13;48.38;0.7;2;32.39;92.34;1.74;1.14;7.92;0
51.08;67.5;0.7;1;31.85;91.09;0.56;0.29;9.12;0
43.65;58.94;0.7;2;32.4;90.16;1.49;0.86;8.22;0
48.2;51.37;0.7;2;33.57;95.31;1.46;1.01;7.96;0
52.99;38.38;0.7;2;32.32;100.94;0.58;0.26;8.56;0
53.66;69.12;0.7;1;34.05;98.12;0.68;0.26;8.94;0
43.2;76.62;0.7;2;27.24;90.94;0.55;0.26;8.64;0
45.33;48.06;0.7;2;31.62;89.53;1.63;1.07;7.98;0
49.84;39.69;0.7;2;30.44;91.09;0.61;0.31;8.61;0
48.78;51.44;0.7;2;34.52;98.75;1.45;1.01;7.96;0
65.36;37.94;0.7;1;32.55;99.53;0.58;0.25;8.65;0
45.97;48.44;0.7;2;32.45;89.84;1.71;1.2;7.92;0
48.11;51.5;0.7;2;34.67;98.59;1.46;1.02;7.95;0
46.69;73.19;0.7;2;19.85;80.16;1.11;0.58;9.17;0
42.08;67;0.7;2;35.6;99.69;0.58;0.29;8.93;0
41.06;64.06;0.7;2;32.23;89.53;0.9;0.51;9.11;0
44.33;58.94;0.7;2;32.29;91.72;1.58;0.87;8.22;0
52.99;67.87;0.7;1;33.41;96.09;0.58;0.3;8.92;0
58.16;59.63;0.7;1;32;91.09;1.96;1;8.24;0
51.64;66.37;0.7;1;34.11;95.94;0.54;0.28;8.92;0
50.17;66.5;0.7;1;34.04;95.94;0.55;0.28;8.88;0
35.44;84.5;0.7;2;30.96;85.94;0.61;0.22;8.73;0
44.33;58.94;0.7;2;33.08;91.87;1.52;0.86;8.22;0
38.7;83.62;0.7;2;32.09;90;0.58;0.26;8.74;0
47.47;84;0.7;1;31.45;90.62;0.55;0.26;8.8;0
62.06;49.38;0.7;1;32.24;90.62;2.31;1.31;7.84;0
69.97;62.81;0.7;1;32.54;92.03;1.93;1.08;8.99;0
43.31;76.56;0.7;2;27.62;95.94;0.55;0.24;8.64;0
52.87;38.63;0.7;2;32.26;99.69;0.61;0.26;8.56;0
44.78;75.87;0.7;2;27.54;92.81;0.78;0.26;8.62;0
43.09;72.5;0.7;2;22.38;84.84;1.11;0.57;8.79;0
40.84;66;0.7;2;35.71;100;0.55;0.28;9.14;0
39.26;65.81;0.7;2;34.27;95.94;0.55;0.28;9.02;0
55.25;52.81;0.7;2;32.89;94.53;2.58;1.37;8.06;0
45.31;48.13;0.7;2;30.89;87.66;1.65;1.07;7.98;0
48.71;73.25;0.7;2;19.4;86.72;1.14;0.61;9.04;0
55.5;49.75;1;2;30.39;84.69;3.73;2.03;7.78;19.75
49.84;39.63;0.7;2;30.44;91.56;0.64;0.32;8.6;0
70.43;39.44;0.7;1;31.08;99.53;0.64;0.31;8.58;0
39.38;68.25;0.7;2;31.81;90.78;0.6;0.28;8.77;0
44.55;76.37;0.7;2;27.75;95.78;0.54;0.24;8.61;0
39.38;68.37;0.7;2;31.65;91.56;0.61;0.28;8.87;0
45.11;75.87;0.7;2;27.43;93.44;1.01;0.27;8.62;0
45.67;72.62;0.7;2;22.31;85.78;1.16;0.55;8.78;0
47.47;84;0.7;1;31.54;90.31;0.58;0.26;8.77;0
43.2;67.31;0.7;2;36.22;102.97;0.57;0.29;8.88;0
45.9;59.25;0.7;2;33.02;92.97;1.83;0.99;8.23;0
72.22;39.25;0.7;1;31.39;106.56;0.64;0.3;8.55;0
58.39;78.5;0.7;1;26.07;98.44;0.58;0.31;8.82;0
49.95;38.06;0.7;2;32.52;99.06;0.58;0.24;8.65;0
56.92;78.56;0.7;1;25.75;96.72;0.61;0.32;8.78;0
43.2;67.31;0.7;2;36.27;104.22;0.58;0.29;8.91;0
52.65;67.75;0.7;1;33.39;93.59;0.56;0.3;9;0
39.38;68.37;0.7;2;32.24;91.09;0.61;0.28;8.86;0
44.89;75.94;0.7;2;28.01;94.84;1.11;0.24;8.61;0
47.93;70.81;0.7;2;31.94;90.78;1.09;0.59;8.95;0
39.26;65.81;0.7;2;33.58;93.91;0.55;0.28;9.02;0
49.39;70.62;0.7;2;32.86;93.91;0.96;0.54;9.3;0
58.39;78.5;0.7;1;25.93;99.84;0.58;0.31;8.83;0
59.74;62.63;0.7;2;35.04;98.91;1.72;0.99;9.05;0
57.82;71.5;0.7;1;30.19;83.75;1.61;0.86;9.22;0
43.2;67.31;0.7;2;37.08;103.28;0.58;0.3;8.96;0
49.5;65.19;0.7;1;33.25;91.87;5.63;0.81;9.04;19.28
63.26;50.56;0.7;1;34.31;96.09;1.72;0.97;8.01;0
58.48;52.06;0.7;1;31.66;87.97;2.46;1.27;7.93;0
56.12;49.81;1;2;31.15;86.87;3.87;2.2;7.78;18.64
43.09;72.5;0.7;2;22.8;85;1.1;0.57;8.79;0
57.38;51.94;0.7;1;31.09;86.72;2.31;1.25;7.94;0
56.47;69.75;0.7;1;31.96;87.34;0.72;0.4;8.88;0
44.21;80.87;0.7;2;21.61;90.31;0.9;0.5;8.87;0
41.06;75.06;0.7;2;30.57;91.72;5.32;0.08;8.71;22.97
42.97;68.5;0.7;2;36;101.09;0.66;0.29;8.87;0
41.74;63.94;0.7;2;32.2;89.22;1.24;0.55;9.02;0
54.07;47.5;0.7;1;31.85;89.06;1.52;1.02;7.94;0
49.84;84.06;0.7;1;31.97;88.91;0.84;0.32;8.72;0
52.77;50.38;0.7;1;34.67;97.97;8.56;0.4;7.87;17.32
41.06;64.12;0.7;2;32.6;90.31;0.88;0.52;9.12;0
56.98;52.44;0.7;1;32.1;91.56;3.59;1.31;7.91;18.64
45.67;72.75;0.7;2;21.53;86.25;0.97;0.52;8.77;0
60.19;70;0.7;1;33.17;91.87;0.76;0.43;8.97;0
46.24;82.19;0.7;2;23.84;97.03;2.75;1.04;8.77;0
43.87;80.75;0.7;2;21.99;87.5;0.87;0.45;8.98;0
50.29;73.44;0.7;2;18.37;86.56;1.24;0.66;8.98;0
53.44;64.81;0.7;1;31.12;87.97;1.5;0.75;9.42;0
49.95;66.19;0.7;1;33.07;93.28;0.55;0.28;9.05;0
43.31;64.31;0.7;2;33;92.97;0.99;0.58;8.89;0
54.38;47.5;0.7;1;31.49;89.06;1.56;1.02;7.94;0
41.74;67.06;0.7;2;35.53;101.72;0.56;0.29;8.89;0
42.97;80.56;0.7;2;22.4;90.47;0.78;0.45;9.16;0
41.96;65.5;0.7;2;33.04;92.97;3.13;1.27;9.25;0
46.46;72.94;0.7;2;21.12;85.47;1.05;0.55;8.84;0
45.64;48.31;0.7;2;30.75;85.94;1.67;1.06;7.94;0
38.59;65.62;0.7;2;31.39;90.62;0.63;0.28;9.11;0
39.71;65.94;0.7;2;33.03;94.06;0.56;0.28;9.04;0
63.22;70.12;0.7;1;34.68;96.87;0.78;0.44;8.93;0
60.53;70.06;0.7;1;33.34;91.87;0.76;0.43;8.94;0
41.74;64;0.7;2;31.16;88.59;1.06;0.53;9.01;0
49.5;65.19;0.7;1;32.74;91.41;5.19;0.89;9.04;18.54
47.75;51.37;0.7;2;33.29;92.81;1.47;1;7.96;0
55.91;68.06;0.7;1;35.93;102.34;0.59;0.31;8.73;0
62.21;41;0.7;1;28.18;90.16;0.84;0.45;8.52;0
63.67;74.94;1;2;19.58;92.34;14.17;1.73;8.76;21.28
50.06;66.56;0.7;1;35.22;98.12;0.55;0.28;8.88;0
52.65;67.75;0.7;1;33.74;94.37;0.57;0.29;9;0
45.67;72.62;0.7;2;22.28;85.94;1.11;0.56;8.78;0
58.42;48.81;0.7;1;32.02;89.84;1.81;1.12;7.89;0
35.33;84.56;0.7;2;31.28;86.87;0.58;0.22;8.73;0
52.87;38.63;0.7;2;32.18;100.31;0.61;0.26;8.56;0
43.31;76.62;0.7;2;27.68;90.47;0.54;0.24;8.64;0
39.38;68.37;0.7;2;32.44;90.94;0.61;0.28;8.86;0
41.74;68.69;0.7;2;34.39;95.47;0.66;0.28;8.73;0
44.55;76.37;0.7;2;27.56;97.34;0.53;0.24;8.61;0
41.74;64.06;0.7;2;30.84;89.06;1.01;0.52;9.02;0
48.83;85.31;0.7;1;32.52;91.25;0.58;0.21;8.68;0
46.8;75.25;0.7;2;26.06;95.31;0.75;0.32;8.68;0
72;63.19;0.7;1;35.84;101.72;2.55;1.36;8.98;0
41.74;68.56;0.7;2;33.53;94.84;0.64;0.29;8.81;0
38.81;85.87;0.7;2;32.81;91.87;0.58;0.22;8.72;0
69.75;74.25;1;2;15.44;85.47;2.62;1.25;8.95;0
66.49;38.81;0.7;1;31.94;96.56;0.58;0.27;8.62;0
43.42;72.44;0.7;2;22.83;83.59;1.02;0.55;8.8;0
38.14;83.81;0.7;2;31.94;93.44;0.58;0.26;8.75;0
38.48;65.62;0.7;2;31.27;89.84;0.6;0.28;9.11;0
52.65;67.75;0.7;1;32.8;93.44;0.57;0.29;8.99;0
70.2;63;0.7;1;33.07;92.81;2.28;1.23;8.95;0
58.54;48.87;0.7;1;32.14;91.25;1.86;1.14;7.89;0
70.6;52.75;1;2;32.35;96.87;2.81;1.48;8.06;0
52.76;39.94;0.7;2;29.95;96.72;0.69;0.35;8.54;0
43.2;67.25;0.7;2;37.29;104.84;0.59;0.29;8.87;0
52.99;38.38;0.7;2;32.32;102.34;0.61;0.28;8.56;0
48.04;70.75;0.7;2;32.37;92.81;1.13;0.64;9.07;0
47.36;85.12;0.7;1;30.93;86.41;0.58;0.21;8.7;0
56.9;51.94;0.7;1;30.4;85.94;2.21;1.23;7.94;0
41.74;64;0.7;2;31.79;88.12;1.05;0.54;9.01;0
48.22;51.37;0.7;2;33.73;95.16;1.45;1.01;7.96;0
57.82;53.31;0.7;1;34.78;98.44;1.58;0.89;8.03;0
44.44;64.19;0.7;2;34.98;98.59;1.01;0.56;9.07;0
67.28;74.31;1;2;15.53;84.37;2.89;1.28;8.8;0
46.46;59.06;0.7;2;34.56;98.12;1.62;0.91;8.22;0
43.2;67.31;0.7;2;37.03;103.59;0.58;0.3;8.93;0
48.53;51.37;0.7;2;33.96;96.56;1.46;1.01;7.96;0
45.05;48.13;0.7;2;31.7;88.59;1.63;1.06;7.98;0
45.03;48.25;0.7;2;30.52;85.47;1.61;1.04;7.98;0
57.38;51.94;0.7;1;31;86.87;2.32;1.25;7.93;0
51.41;67.56;0.7;1;32.82;91.09;0.56;0.29;9.1;0
62.66;60.12;0.7;1;33.88;94.84;2.47;1.12;8.21;0
53.55;69.12;0.7;1;35.12;97.03;0.68;0.26;8.94;0
43.2;67.25;0.7;2;35.33;99.69;0.57;0.29;8.86;0
50.17;73.37;0.7;2;18.84;85.47;1.23;0.65;8.99;0
35.44;84.5;0.7;2;30.64;85.94;0.61;0.22;8.73;0
43.2;76.62;0.7;2;27.65;90.78;0.54;0.26;8.64;0
62.32;49.31;0.7;1;32.08;90.31;2.09;1.27;7.85;0
44.44;64.19;0.7;2;34.35;96.25;0.92;0.53;9.12;0
54.31;47.44;0.7;1;31.23;87.81;1.48;0.99;7.96;0
44.21;80.81;0.7;2;21.56;90;0.9;0.49;8.86;0
47.47;73.12;0.7;2;20.09;84.53;1.14;0.59;9.18;0
50.51;66.19;0.7;1;32.4;91.09;0.56;0.28;9.02;0
54.45;69.81;0.7;1;30.67;87.34;0.73;0.41;8.94;0
44.44;64.19;0.7;2;34.49;98.44;0.92;0.52;9.12;0
67.95;39.06;0.7;1;31.71;96.09;0.61;0.28;8.6;0
43.2;67.25;0.7;2;34.68;100;0.58;0.29;8.86;0
43.31;64.37;0.7;2;33.2;93.44;1.04;0.59;8.8;0
53.89;67.75;0.7;1;35.45;99.06;0.67;0.3;9.06;0
41.17;65.5;0.7;2;31.9;90.16;3.15;1.12;9.27;0
51.19;67.56;0.7;1;33.42;92.19;0.55;0.29;9.11;0
52.99;38.38;0.7;2;32.38;101.56;0.58;0.26;8.56;0
43.31;64.31;0.7;2;33.45;93.75;1.02;0.58;8.88;0
45.79;72.87;0.7;2;21.64;84.84;1.01;0.52;8.76;0
46.91;76.69;0.7;2;27.13;99.84;0.55;0.26;8.56;0
46.69;70.56;0.7;2;30.87;87.5;0.89;0.49;9.19;0
46.46;70.37;0.7;2;33.4;93.44;0.84;0.47;9.04;0
47.14;41.37;0.7;2;27.66;86.25;0.84;0.45;8.56;0
53.1;38.38;0.7;2;32.29;105.63;0.61;0.28;8.56;0
69.75;74.31;1;2;15.46;86.25;2.78;1.31;8.86;0
41.06;64.12;0.7;2;32.08;90.31;0.88;0.51;9.13;0
39.38;68.37;0.7;2;31.34;90.94;0.62;0.28;8.87;0
41.06;64.12;0.7;2;32.76;89.69;0.91;0.51;9.11;0
51.41;71.94;0.7;1;30.64;85.16;3.71;0.68;8.82;21.53
46.57;84.06;0.7;1;31.02;86.09;0.61;0.29;8.77;0
64.01;37.25;0.7;1;32.99;96.25;0.58;0.24;8.69;0
42.97;68.81;0.7;2;35.2;101.72;0.65;0.29;8.72;0
50.96;39.81;0.7;2;30.27;99.53;0.87;0.34;8.61;0
59.86;52.06;0.7;1;32.99;92.19;2.61;1.36;7.92;0
46.46;62.12;0.7;2;32.12;89.84;10.43;1.04;9.23;22.64
54.99;52.81;0.7;2;32.87;94.37;2.62;1.38;8.06;0
44.44;64.19;0.7;2;34.38;100.31;0.94;0.55;9.08;0
46.78;51.25;0.7;2;32.36;91.41;1.41;0.99;7.98;0
56.26;52.88;0.7;2;33.73;100.16;2.46;1.31;8.06;0
64.01;37.25;0.7;1;32.9;96.56;0.58;0.24;8.69;0
60.53;70;0.7;1;31.68;90.94;0.77;0.43;8.94;0
44.33;81.19;0.7;2;20.43;90.78;1.04;0.58;9.16;0
46.91;76.69;0.7;2;27.56;99.69;0.56;0.26;8.56;0
43.09;67.44;0.7;2;37.12;104.84;0.58;0.3;9.09;0
53.21;64.87;0.7;1;31.44;88.91;1.69;0.83;9.18;0
55.87;49.81;1;2;30.65;85.94;3.99;2.09;7.79;19.37
39.83;66.81;0.7;2;32.99;94.37;0.56;0.28;9.05;0
46.35;75.75;0.7;2;27.09;96.56;0.71;0.3;8.61;0
58.05;59.63;0.7;1;32.43;91.09;1.96;1;8.24;0
50.85;39.81;0.7;2;30.3;99.06;0.87;0.34;8.61;0
41.74;64;0.7;2;32.21;88.59;1.04;0.53;9.01;0
56.33;51.88;0.7;1;30.66;86.09;2.03;1.16;7.94;0
41.06;75.06;0.7;2;30.59;91.87;5.56;0.08;8.71;22.91
53.32;64.75;0.7;1;32.58;90.31;1.46;0.75;9.39;0
41.74;67.06;0.7;2;34.61;99.22;0.57;0.29;8.88;0
69.75;74.31;1;2;15.35;86.72;2.82;1.31;8.85;0
41.06;64.06;0.7;2;32.57;89.69;0.89;0.51;9.11;0
43.42;72.37;0.7;2;22.72;84.22;0.99;0.52;8.81;0
71.17;52.75;1;2;31.26;95.47;3.37;1.71;8.05;0
44.89;76.81;0.7;2;27.38;98.59;0.62;0.29;8.49;0
44.55;58.81;0.7;2;33.02;93.91;1.39;0.83;8.21;0
47.93;70.81;0.7;2;32.8;91.25;1.08;0.6;8.94;0
41.74;67.12;0.7;2;34.03;96.56;0.56;0.29;8.86;0
50.17;73.31;0.7;2;19.08;86.41;1.22;0.64;9.01;0
45.9;62.19;0.7;2;33.22;93.12;10.57;0.5;9.2;22.93
56.58;52.88;0.7;2;34.08;102.97;2.42;1.27;8.06;0
41.74;64.06;0.7;2;32.3;88.44;1.02;0.52;9.02;0
49.95;38.06;0.7;2;32.52;99.22;0.58;0.25;8.65;0
60.4;53.19;0.7;1;33.38;95.47;2.24;1.09;8.02;0
43.09;68.81;0.7;2;35.99;101.25;0.64;0.29;8.72;0
49.28;75.31;0.7;2;26.05;102.34;0.71;0.33;8.66;0
44.78;64.56;0.7;2;34.49;97.03;1.18;0.65;9.12;0
48.71;73.25;0.7;2;19.44;82.5;1.2;0.6;9.06;0
52.59;50.38;0.7;1;34.77;97.81;7.28;0.39;7.88;17.55
67.28;39.06;0.7;1;31.74;95.94;0.64;0.28;8.61;0
58.75;52.06;0.7;1;31.6;88.91;2.43;1.28;7.93;0
44.33;59;0.7;2;33.16;92.03;1.53;0.86;8.22;0
42.08;58.69;0.7;2;32.69;91.41;1.53;0.84;8.21;0
51.19;67.5;0.7;1;32.49;91.09;0.55;0.29;9.12;0
44.33;58.94;0.7;2;33.19;92.5;1.58;0.88;8.22;0
60.19;70;0.7;1;32.76;93.75;0.76;0.43;8.97;0
58.43;48.81;0.7;1;30.98;86.41;1.78;1.1;7.89;0
42.97;68.81;0.7;2;35.77;102.03;0.65;0.29;8.71;0
45.45;72.75;0.7;2;21.26;83.59;0.96;0.52;8.76;0
64.8;74.81;1;2;19.45;91.72;8.28;1.94;8.88;20.7
70.31;39.44;0.7;1;31.13;100;0.64;0.32;8.58;0
45.9;59.31;0.7;2;32.83;93.75;1.86;0.99;8.23;0
53.1;69.12;0.7;1;35.39;99.22;0.69;0.26;8.93;0
46.35;75.81;0.7;2;27.1;96.41;0.73;0.3;8.61;0
40.95;65.69;0.7;2;35.3;100.16;0.55;0.28;9.08;0
56.38;52.88;0.7;2;33.7;100.31;2.52;1.32;8.06;0
39.83;66.87;0.7;2;33.37;92.19;0.55;0.28;9.01;0
41.63;67;0.7;2;32.81;94.06;0.58;0.29;8.97;0
53.21;69.12;0.7;1;35.27;99.84;0.69;0.26;8.93;0
70.31;39.13;0.7;1;31.6;98.44;0.61;0.28;8.56;0
53.89;67.75;0.7;1;35.22;100.31;0.7;0.33;9.08;0
52.2;73.62;0.7;2;17.86;87.19;1.39;0.77;8.91;0
35.44;84.37;0.7;2;30.41;84.22;0.61;0.22;8.73;0
45.79;72.69;0.7;2;21.74;86.72;0.96;0.52;8.77;0
43.09;72.5;0.7;2;22.25;85.16;1.08;0.57;8.8;0
69.75;74.31;1;2;15.39;86.25;2.84;1.31;8.84;0
51.64;66.37;0.7;1;34.68;96.25;0.56;0.28;8.92;0
41.74;68.62;0.7;2;34.45;97.19;0.65;0.28;8.74;0
68.85;52.25;1;1;31.22;87.34;3.57;1.69;7.86;18.81
52.76;39.94;0.7;2;29.95;95.47;0.69;0.35;8.56;0
63.11;74.5;1;2;17.29;84.22;3.43;1.19;8.73;20
44.21;81.19;0.7;2;20.54;88.75;1.13;0.58;9.14;0
50.85;65.31;0.7;1;33.97;96.25;5.88;0.56;9.12;21.73
41.74;68.62;0.7;2;33.53;95.62;0.64;0.28;8.76;0
62.89;41.13;0.7;1;28.04;92.81;0.78;0.46;8.56;0
39.15;83.37;0.7;2;28.39;85.94;3.53;0.66;8.77;0
47.14;85.19;0.7;1;31.11;86.41;0.55;0.22;8.69;0
44.78;75.94;0.7;2;27.69;94.06;0.75;0.28;8.61;0
43.2;67.25;0.7;2;35.11;100.16;0.58;0.29;8.86;0
47.47;84;0.7;1;31.45;90.16;0.55;0.26;8.79;0
44.1;80.81;0.7;2;21.67;89.84;0.9;0.49;8.89;0
44.55;76.5;0.7;2;27.43;95.94;0.54;0.24;8.65;0
45.1;48.19;0.7;2;31.47;89.22;1.61;1.04;7.99;0
41.74;67.12;0.7;2;34.9;98.12;0.56;0.29;8.84;0
41.85;67.12;0.7;2;33.97;96.87;0.57;0.29;8.86;0
